,user_ids
319,A-8680-2015
320,C-4111-2015
321,A-6710-2013
322,A-1122-2007
323,F-4869-2015
324,O-9714-2018
325,I-9933-2014
326,F-5370-2018
327,L-6762-2016
328,F-9225-2014
329,A-8515-2015
330,I-7604-2016
331,K-8035-2012
332,C-2887-2011
333,I-7757-2013
334,I-7963-2012
335,G-3585-2011
336,B-1653-2017
337,A-1416-2008
338,M-3309-2016
339,C-3926-2016
340,F-4927-2010
341,B-5729-2011
342,G-4456-2014
343,C-3284-2009
344,J-5048-2013
345,J-9401-2014
346,K-5599-2015
347,O-5481-2018
348,L-1182-2016
349,C-3158-2011
350,K-4028-2015
351,J-7080-2014
352,F-8083-2017
353,B-3110-2013
354,R-2184-2017
355,N-5948-2017
356,A-9424-2013
357,R-3267-2017
358,T-5032-2017
359,A-5836-2009
360,I-6266-2016
361,I-3333-2012
362,A-5324-2013
363,B-8756-2008
364,A-7079-2009
365,N-3877-2014
366,A-2620-2015
367,K-3418-2014
368,F-4368-2016
369,B-1191-2012
370,F-2297-2011
371,H-5532-2012
372,O-3450-2018
373,N-3937-2017
374,O-8790-2016
375,I-3832-2013
376,A-3603-2013
377,O-2394-2018
378,F-4845-2011
379,A-9659-2009
380,D-5880-2016
381,F-8576-2011
382,A-7794-2008
383,A-5782-2008
384,J-3014-2015
385,A-7754-2017
386,B-1007-2010
387,C-9260-2009
388,D-1804-2011
389,B-9828-2012
390,D-6384-2014
391,F-7624-2010
392,D-4096-2015
393,A-8714-2009
394,B-4980-2010
395,D-2279-2012
396,D-2776-2016
397,I-2800-2013
398,B-1735-2013
399,B-3360-2009
400,J-1749-2014
401,C-2407-2011
402,A-2802-2012
403,T-5066-2017
404,M-8813-2018
405,I-8687-2016
406,O-3459-2018
407,D-1718-2010
408,D-4767-2018
409,A-9336-2009
410,M-3747-2016
411,A-3810-2009
412,B-5630-2016
413,C-3711-2011
414,J-2602-2014
415,L-6999-2017
416,A-7025-2016
417,E-4705-2018
418,F-4142-2018
419,M-6258-2018
420,C-8627-2017
421,L-2226-2013
422,B-2785-2013
423,B-1132-2009
424,G-8841-2012
425,K-8316-2015
426,C-1361-2017
427,M-8472-2018
428,G-1138-2018
429,A-7494-2017
430,B-3365-2017
431,E-1222-2011
432,P-6377-2014
433,F-3185-2015
434,M-4284-2013
435,F-9780-2010
436,C-1113-2018
437,J-6701-2013
438,R-5405-2017
439,P-4696-2017
440,O-3332-2017
441,A-8835-2010
442,D-8931-2011
443,A-7031-2013
444,P-9025-2014
445,O-2484-2014
446,R-6711-2016
447,P-1612-2017
448,O-2526-2014
449,P-2538-2016
450,O-2445-2016
451,G-4901-2015
452,G-9052-2011
453,B-4852-2012
454,C-2073-2016
455,A-8004-2009
456,I-4132-2012
457,I-8440-2017
458,G-3157-2010
459,J-8384-2013
460,A-4706-2010
461,E-6870-2012
462,I-9803-2014
463,R-6191-2016
464,H-4209-2011
465,I-4328-2015
466,P-5262-2018
467,Q-7835-2016
468,B-3224-2010
469,G-3635-2010
470,L-5037-2016
471,N-8158-2018
472,P-8451-2015
473,F-5858-2014
474,K-1228-2017
475,K-8513-2012
476,P-1465-2016
477,G-9166-2014
478,C-5751-2013
